"°üÃø¼Ò","°üÃøÀÏ½Ã","Ç¥Ãþ¼ö¿Â(¡É)","Ç¥Ãþ ¿°ºÐ(psu)","Ç¥Ãþ DO(mg/L)","Ç¥Ãþ¼ö½É(m)","ÁßÃæ¼ö¿Â(¡É)","ÁßÃæ¿°ºÐ(psu)","ÁßÃæDO(mg/L)","ÁßÃþ¼ö½É(m)","ÀúÃþ¼ö¿Â(¡É)","ÀúÃþ ¿°ºÐ(psu)","ÀúÃþ DO(mg/L)","ÀúÃþ¼ö½É(m)"
°­¸ª(bgna3),"2020-02-02 05:30",11.9,,,5,11,,,20,11.4,,,30
°­¸ª(bgna3),"2020-02-02 06:00",11.9,,,5,11.1,,,20,11.4,,,30
°­¸ª(bgna3),"2020-02-02 06:30",11.9,,,5,11.1,,,20,11.4,,,30
°­¸ª(bgna3),"2020-02-02 07:00",11.9,,,5,10.9,,,20,11.4,,,30
°­¸ª(bgna3),"2020-02-02 07:30",11.9,,,5,11.2,,,20,11.4,,,30
°­¸ª(bgna3),"2020-02-02 08:00",11.9,,,5,11.2,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-02 08:30",11.9,,,5,11.3,,,20,11.4,,,30
°­¸ª(bgna3),"2020-02-02 09:00",11.8,,,5,11.2,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-02 09:30",11.8,,,5,11.2,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-02 10:00",11.8,,,5,11.3,,,20,11.7,,,30
°­¸ª(bgna3),"2020-02-02 10:30",11.8,,,5,11.3,,,20,11.7,,,30
°­¸ª(bgna3),"2020-02-02 11:00",11.8,,,5,11.3,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-02 11:30",11.8,,,5,11.3,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-02 12:00",11.8,,,5,11.3,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-02 12:30",11.9,,,5,11.2,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-02 13:00",11.8,,,5,11.4,,,20,11.8,,,30
°­¸ª(bgna3),"2020-02-02 13:30",11.8,,,5,11.3,,,20,11.7,,,30
°­¸ª(bgna3),"2020-02-02 14:00",11.9,,,5,11.3,,,20,11.7,,,30
°­¸ª(bgna3),"2020-02-02 14:30",12,,,5,11.3,,,20,11.7,,,30
°­¸ª(bgna3),"2020-02-02 15:00",12,,,5,11.3,,,20,11.7,,,30
°­¸ª(bgna3),"2020-02-02 15:30",12,,,5,11.2,,,20,11.7,,,30
°­¸ª(bgna3),"2020-02-02 16:00",12.1,,,5,11.2,,,20,11.7,,,30
°­¸ª(bgna3),"2020-02-02 16:30",12.1,,,5,11.2,,,20,11.7,,,30
°­¸ª(bgna3),"2020-02-02 17:00",12,,,5,11.2,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-02 17:30",12.1,,,5,11.1,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-02 18:00",12,,,5,11.3,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-02 18:30",11.9,,,5,11.3,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-02 19:00",11.9,,,5,11.5,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-02 19:30",12,,,5,11.5,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-02 20:00",12.4,,,5,11.5,,,20,11.7,,,30
°­¸ª(bgna3),"2020-02-02 20:30",12.3,,,5,11.6,,,20,11.7,,,30
°­¸ª(bgna3),"2020-02-02 21:00",12.5,,,5,11.1,,,20,11.7,,,30
°­¸ª(bgna3),"2020-02-02 21:30",12.4,,,5,11.4,,,20,11.7,,,30
°­¸ª(bgna3),"2020-02-02 22:00",12.4,,,5,11.5,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-02 22:30",12.4,,,5,11.3,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-02 23:00",12.3,,,5,11.2,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-02 23:30",12.2,,,5,11.4,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-03 00:30",12.3,,,5,11.4,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-03 01:00",12.3,,,5,11.5,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-03 01:30",12.3,,,5,11.4,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-03 02:00",12.3,,,5,11.4,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-03 02:30",12.4,,,5,11.6,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-03 03:00",12.4,,,5,11.6,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-03 03:30",12.4,,,5,11.6,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-03 04:00",12.4,,,5,11.6,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-03 04:30",12.4,,,5,11.7,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-03 05:00",12.4,,,5,11.7,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-03 05:30",12.4,,,5,11.8,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-03 06:00",12.4,,,5,11.7,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-03 06:30",12.4,,,5,11.8,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-03 07:00",12.4,,,5,11.9,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-03 07:30",12.4,,,5,11.8,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-03 08:00",12.4,,,5,11.8,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-03 08:30",12.4,,,5,11.8,,,20,11.7,,,30
°­¸ª(bgna3),"2020-02-03 09:00",12.4,,,5,11.8,,,20,11.7,,,30
°­¸ª(bgna3),"2020-02-03 09:30",12.4,,,5,11.2,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-03 10:00",12.3,,,5,11.8,,,20,11.7,,,30
°­¸ª(bgna3),"2020-02-03 10:30",12.3,,,5,11.7,,,20,11.7,,,30
°­¸ª(bgna3),"2020-02-03 11:00",12.3,,,5,11.7,,,20,11.7,,,30
°­¸ª(bgna3),"2020-02-03 11:30",12.3,,,5,11.7,,,20,11.7,,,30
°­¸ª(bgna3),"2020-02-03 12:00",12.3,,,5,11.6,,,20,11.7,,,30
°­¸ª(bgna3),"2020-02-03 12:30",12.3,,,5,11.5,,,20,11.7,,,30
°­¸ª(bgna3),"2020-02-03 13:00",12.3,,,5,11.5,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-03 13:30",12.3,,,5,11.5,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-03 14:00",12.3,,,5,11.4,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-03 14:30",12.3,,,5,11.2,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-03 15:00",12.4,,,5,11.1,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-03 15:30",12.5,,,5,11.2,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-03 16:00",12.5,,,5,11.3,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-03 16:30",12.5,,,5,11.3,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-03 17:00",12.5,,,5,11.4,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-03 17:30",12.7,,,5,11.2,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-03 18:30",12.7,,,5,11.1,,,20,11.4,,,30
°­¸ª(bgna3),"2020-02-03 19:00",12.7,,,5,11.1,,,20,11.4,,,30
°­¸ª(bgna3),"2020-02-03 19:30",12.8,,,5,11.3,,,20,11.4,,,30
°­¸ª(bgna3),"2020-02-03 20:00",12.9,,,5,11.6,,,20,11.4,,,30
°­¸ª(bgna3),"2020-02-03 20:30",12.9,,,5,11.4,,,20,11.4,,,30
°­¸ª(bgna3),"2020-02-03 21:00",12.9,,,5,11.6,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-03 21:30",12.9,,,5,11.5,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-03 22:00",12.8,,,5,11.4,,,20,11.4,,,30
°­¸ª(bgna3),"2020-02-03 22:30",12.7,,,5,11.2,,,20,11.4,,,30
°­¸ª(bgna3),"2020-02-03 23:00",12.6,,,5,11,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-03 23:30",12.6,,,5,10.9,,,20,11.4,,,30
°­¸ª(bgna3),"2020-02-04 00:30",12.3,,,5,10.8,,,20,11.4,,,30
°­¸ª(bgna3),"2020-02-04 01:00",12.3,,,5,11.1,,,20,11.4,,,30
°­¸ª(bgna3),"2020-02-04 01:30",12.2,,,5,10.9,,,20,11.4,,,30
°­¸ª(bgna3),"2020-02-04 02:00",12.1,,,5,11.2,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-04 02:30",12,,,5,11.2,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-04 03:00",11.9,,,5,11.2,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-04 03:30",11.8,,,5,11.1,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-04 04:30",11.7,,,5,11,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-04 05:00",11.7,,,5,11,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-04 05:30",11.7,,,5,11,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-04 06:00",11.7,,,5,11,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-04 06:30",11.6,,,5,10.9,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-04 07:00",11.6,,,5,10.9,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-04 07:30",11.6,,,5,10.9,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-04 08:00",11.6,,,5,10.9,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-04 08:30",11.6,,,5,11,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-04 09:00",11.6,,,5,11,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-04 09:30",11.6,,,5,11,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-04 10:00",11.8,,,5,11.6,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-04 10:30",12.2,,,5,11.5,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-04 11:00",12.2,,,5,11.5,,,20,11.4,,,30
°­¸ª(bgna3),"2020-02-04 11:30",12,,,5,11.5,,,20,11.4,,,30
°­¸ª(bgna3),"2020-02-04 12:00",12.2,,,5,11.4,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-04 12:30",12.2,,,5,11.5,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-04 13:00",12.1,,,5,11.5,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-04 13:30",12.1,,,5,11.3,,,20,11,,,30
°­¸ª(bgna3),"2020-02-04 14:00",12.2,,,5,11.5,,,20,11.1,,,30
°­¸ª(bgna3),"2020-02-04 14:30",12.3,,,5,11.5,,,20,11.1,,,30
°­¸ª(bgna3),"2020-02-04 15:00",12.3,,,5,11.6,,,20,11.1,,,30
°­¸ª(bgna3),"2020-02-04 15:30",12.3,,,5,11.5,,,20,11.1,,,30
°­¸ª(bgna3),"2020-02-04 16:00",12.3,,,5,11.5,,,20,11.1,,,30
°­¸ª(bgna3),"2020-02-04 16:30",12.3,,,5,11.7,,,20,11.1,,,30
°­¸ª(bgna3),"2020-02-04 17:00",12.3,,,5,11.6,,,20,11.1,,,30
°­¸ª(bgna3),"2020-02-04 17:30",12.2,,,5,11.8,,,20,11.1,,,30
°­¸ª(bgna3),"2020-02-04 18:00",12.2,,,5,11.8,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-04 18:30",12.2,,,5,12,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-04 19:00",12.2,,,5,12,,,20,11.3,,,30
°­¸ª(bgna3),"2020-02-04 19:30",12.2,,,5,12,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-04 20:00",12.2,,,5,12.1,,,20,11.3,,,30
°­¸ª(bgna3),"2020-02-04 20:30",12.3,,,5,12.2,,,20,11.7,,,30
°­¸ª(bgna3),"2020-02-04 21:00",12.3,,,5,12.1,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-04 21:30",12.2,,,5,11.8,,,20,11.4,,,30
°­¸ª(bgna3),"2020-02-04 22:00",12.2,,,5,11.8,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-04 22:30",12.2,,,5,11.7,,,20,11.4,,,30
°­¸ª(bgna3),"2020-02-04 23:00",12.2,,,5,11.6,,,20,11.4,,,30
°­¸ª(bgna3),"2020-02-04 23:30",12.2,,,5,11.6,,,20,11.4,,,30
°­¸ª(bgna3),"2020-02-05 00:30",12.2,,,5,11.7,,,20,11.4,,,30
°­¸ª(bgna3),"2020-02-05 01:00",12.1,,,5,11.7,,,20,11.4,,,30
°­¸ª(bgna3),"2020-02-05 01:30",12.1,,,5,11.5,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-05 02:00",12,,,5,11.6,,,20,11.3,,,30
°­¸ª(bgna3),"2020-02-05 02:30",12,,,5,11.7,,,20,11.3,,,30
°­¸ª(bgna3),"2020-02-05 03:00",12,,,5,11.6,,,20,11.3,,,30
°­¸ª(bgna3),"2020-02-05 03:30",12,,,5,11.6,,,20,11.3,,,30
°­¸ª(bgna3),"2020-02-05 04:00",11.9,,,5,11.9,,,20,11.3,,,30
°­¸ª(bgna3),"2020-02-05 04:30",12,,,5,11.9,,,20,11.3,,,30
°­¸ª(bgna3),"2020-02-05 05:00",12,,,5,11.9,,,20,11.4,,,30
°­¸ª(bgna3),"2020-02-05 05:30",12,,,5,11.9,,,20,11.4,,,30
°­¸ª(bgna3),"2020-02-05 06:00",12,,,5,11.9,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-05 06:30",12,,,5,11.9,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-05 07:00",12,,,5,11.9,,,20,11.7,,,30
°­¸ª(bgna3),"2020-02-05 07:30",12,,,5,11.9,,,20,11.8,,,30
°­¸ª(bgna3),"2020-02-05 08:00",12,,,5,11.8,,,20,11.7,,,30
°­¸ª(bgna3),"2020-02-05 08:30",12,,,5,11.8,,,20,11.7,,,30
°­¸ª(bgna3),"2020-02-05 09:00",12,,,5,11.7,,,20,11.7,,,30
°­¸ª(bgna3),"2020-02-05 09:30",12,,,5,11.7,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-05 10:00",12,,,5,11.7,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-05 10:30",12,,,5,11.6,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-05 11:00",12,,,5,11.6,,,20,11.6,,,30
°­¸ª(bgna3),"2020-02-05 11:30",12,,,5,11.6,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-05 12:00",12,,,5,11.6,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-05 12:30",12,,,5,11.5,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-05 13:00",12,,,5,11.5,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-05 13:30",12,,,5,11.5,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-05 14:00",12,,,5,11.5,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-05 14:30",12,,,5,11.5,,,20,11.4,,,30
°­¸ª(bgna3),"2020-02-05 15:00",12,,,5,11.3,,,20,10.9,,,30
°­¸ª(bgna3),"2020-02-05 15:30",12,,,5,11.4,,,20,10.8,,,30
°­¸ª(bgna3),"2020-02-05 16:00",11.9,,,5,11.6,,,20,10.8,,,30
°­¸ª(bgna3),"2020-02-05 16:30",11.9,,,5,11.7,,,20,10.9,,,30
°­¸ª(bgna3),"2020-02-05 17:00",12.2,,,5,11.8,,,20,10.9,,,30
°­¸ª(bgna3),"2020-02-05 17:30",12.3,,,5,12,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-05 18:00",12.3,,,5,12.2,,,20,11.3,,,30
°­¸ª(bgna3),"2020-02-05 18:30",12.3,,,5,12.2,,,20,11.4,,,30
°­¸ª(bgna3),"2020-02-05 19:00",12.4,,,5,12.1,,,20,11.4,,,30
°­¸ª(bgna3),"2020-02-05 19:30",12.3,,,5,11.9,,,20,11.5,,,30
°­¸ª(bgna3),"2020-02-05 20:00",12.3,,,5,12,,,20,11.1,,,30
°­¸ª(bgna3),"2020-02-05 20:30",12.3,,,5,12,,,20,11,,,30
°­¸ª(bgna3),"2020-02-05 21:00",12.3,,,5,11.7,,,20,11,,,30
°­¸ª(bgna3),"2020-02-05 21:30",12.3,,,5,11.7,,,20,11,,,30
°­¸ª(bgna3),"2020-02-05 22:00",12.2,,,5,11.7,,,20,11,,,30
°­¸ª(bgna3),"2020-02-05 22:30",12.2,,,5,11.6,,,20,11,,,30
°­¸ª(bgna3),"2020-02-05 23:00",12.2,,,5,11.6,,,20,11,,,30
°­¸ª(bgna3),"2020-02-05 23:30",12.1,,,5,11.6,,,20,11,,,30
°­¸ª(bgna3),"2020-02-06 00:30",12,,,5,11.3,,,20,11.1,,,30
°­¸ª(bgna3),"2020-02-06 01:00",12,,,5,11.4,,,20,11.1,,,30
°­¸ª(bgna3),"2020-02-06 01:30",12,,,5,11.5,,,20,11.1,,,30
°­¸ª(bgna3),"2020-02-06 02:00",12,,,5,11.5,,,20,11.1,,,30
°­¸ª(bgna3),"2020-02-06 03:00",11.9,,,5,11.5,,,20,11.1,,,30
°­¸ª(bgna3),"2020-02-06 03:30",11.9,,,5,11.4,,,20,11.1,,,30
°­¸ª(bgna3),"2020-02-06 04:00",11.9,,,5,11.4,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-06 04:30",11.8,,,5,11.4,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-06 05:00",11.8,,,5,11.4,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-06 05:30",11.7,,,5,11.4,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-06 06:00",11.7,,,5,11.6,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-06 06:30",11.6,,,5,11.6,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-06 07:00",11.6,,,5,11.5,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-06 07:30",11.6,,,5,11.6,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-06 08:00",11.6,,,5,11.5,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-06 08:30",11.6,,,5,11.5,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-06 09:00",11.5,,,5,11.5,,,20,11.3,,,30
°­¸ª(bgna3),"2020-02-06 09:30",11.5,,,5,11.5,,,20,11.3,,,30
°­¸ª(bgna3),"2020-02-06 10:00",11.5,,,5,11.5,,,20,11.4,,,30
°­¸ª(bgna3),"2020-02-06 10:30",11.5,,,5,11.4,,,20,11.4,,,30
°­¸ª(bgna3),"2020-02-06 11:00",11.5,,,5,11.4,,,20,11.3,,,30
°­¸ª(bgna3),"2020-02-06 11:30",11.6,,,5,11.4,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-06 12:00",11.6,,,5,11.4,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-06 12:30",11.6,,,5,11.4,,,20,11.3,,,30
°­¸ª(bgna3),"2020-02-06 13:00",11.6,,,5,11.4,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-06 13:30",11.7,,,5,11.4,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-06 14:00",11.7,,,5,11.4,,,20,11.1,,,30
°­¸ª(bgna3),"2020-02-06 14:30",12.1,,,5,11.4,,,20,11.1,,,30
°­¸ª(bgna3),"2020-02-06 15:00",12.2,,,5,11.5,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-06 15:30",12.2,,,5,11.6,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-06 16:00",12.2,,,5,11.6,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-06 16:30",12.2,,,5,11.9,,,20,11.3,,,30
°­¸ª(bgna3),"2020-02-06 17:00",12.2,,,5,11.7,,,20,11.3,,,30
°­¸ª(bgna3),"2020-02-06 17:30",12.2,,,5,11.9,,,20,11.3,,,30
°­¸ª(bgna3),"2020-02-06 18:00",12.2,,,5,11.7,,,20,11.3,,,30
°­¸ª(bgna3),"2020-02-06 18:30",12.2,,,5,11.7,,,20,11.3,,,30
°­¸ª(bgna3),"2020-02-06 19:00",12.1,,,5,11.7,,,20,11.3,,,30
°­¸ª(bgna3),"2020-02-06 19:30",12.1,,,5,11.7,,,20,11.3,,,30
°­¸ª(bgna3),"2020-02-06 20:00",12.1,,,5,11.7,,,20,11.3,,,30
°­¸ª(bgna3),"2020-02-06 20:30",12.1,,,5,11.6,,,20,11.3,,,30
°­¸ª(bgna3),"2020-02-06 21:00",12.1,,,5,11.6,,,20,11.3,,,30
°­¸ª(bgna3),"2020-02-06 21:30",12,,,5,11.5,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-06 22:00",12,,,5,11.6,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-06 22:30",12,,,5,11.5,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-06 23:00",11.9,,,5,11.6,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-06 23:30",11.9,,,5,11.6,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-07 00:30",11.9,,,5,11.7,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-07 01:00",11.9,,,5,11.8,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-07 01:30",11.9,,,5,11.8,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-07 02:00",11.9,,,5,11.4,,,20,11.2,,,30
°­¸ª(bgna3),"2020-02-07 02:30",11.8,,,5,11.7,,,20,11.3,,,30
