"관측소","관측일시","표층수온(℃)","표층 염분(psu)","표층 DO(mg/L)","표층수심(m)","중층수온(℃)","층층 염분(psu)","층층 DO(mg/L)","층층수심(m)","저층수온(℃)","저층 염분(psu)","저층 DO(mg/L)","저층수심(m)"
강릉(bgna3),"2025-04-01 19:30",7.8,,,5,4.4,,,20,3.3,,,30
강릉(bgna3),"2025-04-01 20:00",7.6,,,5,3.9,,,20,3.2,,,30
강릉(bgna3),"2025-04-01 20:30",7.6,,,5,3.8,,,20,3.2,,,30
강릉(bgna3),"2025-04-01 21:30",7.5,,,5,4.0,,,20,3.1,,,30
강릉(bgna3),"2025-04-01 22:00",7.4,,,5,3.7,,,20,3.1,,,30
강릉(bgna3),"2025-04-01 22:30",7.5,,,5,3.7,,,20,3.0,,,30
강릉(bgna3),"2025-04-01 23:00",8.0,,,5,3.7,,,20,3.0,,,30
강릉(bgna3),"2025-04-01 23:30",8.1,,,5,3.8,,,20,3.1,,,30
강릉(bgna3),"2025-04-02 00:00",8.0,,,5,4.7,,,20,3.4,,,30
강릉(bgna3),"2025-04-02 00:30",8.0,,,5,4.7,,,20,3.3,,,30
강릉(bgna3),"2025-04-02 01:00",7.6,,,5,4.1,,,20,3.1,,,30
강릉(bgna3),"2025-04-02 01:30",7.5,,,5,4.0,,,20,3.2,,,30
강릉(bgna3),"2025-04-02 02:00",7.5,,,5,3.9,,,20,3.1,,,30
강릉(bgna3),"2025-04-02 02:30",7.5,,,5,3.8,,,20,3.1,,,30
강릉(bgna3),"2025-04-02 03:00",7.3,,,5,3.7,,,20,3.2,,,30
강릉(bgna3),"2025-04-02 03:30",7.5,,,5,3.6,,,20,3.1,,,30
강릉(bgna3),"2025-04-02 04:00",7.1,,,5,3.5,,,20,3.2,,,30
강릉(bgna3),"2025-04-02 04:30",7.5,,,5,3.5,,,20,3.1,,,30
강릉(bgna3),"2025-04-02 05:00",7.6,,,5,3.5,,,20,3.1,,,30
강릉(bgna3),"2025-04-02 05:30",7.4,,,5,3.5,,,20,3.2,,,30
강릉(bgna3),"2025-04-02 06:00",7.1,,,5,3.5,,,20,3.2,,,30
강릉(bgna3),"2025-04-02 06:30",6.9,,,5,3.4,,,20,2.9,,,30
강릉(bgna3),"2025-04-02 07:00",6.8,,,5,3.4,,,20,2.9,,,30
강릉(bgna3),"2025-04-02 07:30",6.7,,,5,3.4,,,20,2.8,,,30
강릉(bgna3),"2025-04-02 08:00",6.7,,,5,3.4,,,20,2.8,,,30
강릉(bgna3),"2025-04-02 08:30",6.6,,,5,3.6,,,20,2.8,,,30
강릉(bgna3),"2025-04-02 09:00",6.6,,,5,3.5,,,20,2.8,,,30
강릉(bgna3),"2025-04-02 09:30",6.5,,,5,3.5,,,20,3.0,,,30
강릉(bgna3),"2025-04-02 10:00",6.5,,,5,3.4,,,20,2.9,,,30
강릉(bgna3),"2025-04-02 10:30",6.5,,,5,3.6,,,20,2.9,,,30
강릉(bgna3),"2025-04-02 11:00",6.4,,,5,3.5,,,20,2.9,,,30
강릉(bgna3),"2025-04-02 11:30",6.4,,,5,3.5,,,20,2.9,,,30
강릉(bgna3),"2025-04-02 12:00",6.4,,,5,3.5,,,20,2.8,,,30
강릉(bgna3),"2025-04-02 12:30",6.5,,,5,3.6,,,20,2.8,,,30
강릉(bgna3),"2025-04-02 13:00",7.3,,,5,4.5,,,20,3.0,,,30
강릉(bgna3),"2025-04-02 13:30",7.5,,,5,5.7,,,20,3.3,,,30
강릉(bgna3),"2025-04-02 14:00",7.4,,,5,5.3,,,20,3.6,,,30
강릉(bgna3),"2025-04-02 14:30",7.4,,,5,5.1,,,20,3.5,,,30
강릉(bgna3),"2025-04-02 15:00",7.1,,,5,5.0,,,20,3.6,,,30
강릉(bgna3),"2025-04-02 15:30",6.9,,,5,4.8,,,20,3.5,,,30
강릉(bgna3),"2025-04-02 16:00",6.7,,,5,4.6,,,20,3.4,,,30
강릉(bgna3),"2025-04-02 16:30",6.7,,,5,4.5,,,20,3.5,,,30
강릉(bgna3),"2025-04-02 17:00",6.8,,,5,4.1,,,20,3.2,,,30
강릉(bgna3),"2025-04-02 17:30",7.0,,,5,3.9,,,20,3.2,,,30
강릉(bgna3),"2025-04-02 18:00",6.6,,,5,3.8,,,20,3.3,,,30
강릉(bgna3),"2025-04-02 18:30",6.4,,,5,3.7,,,20,3.1,,,30
강릉(bgna3),"2025-04-02 19:00",6.2,,,5,3.4,,,20,3.0,,,30
강릉(bgna3),"2025-04-02 19:30",6.4,,,5,5.1,,,20,3.6,,,30
강릉(bgna3),"2025-04-02 20:00",6.9,,,5,4.2,,,20,3.2,,,30
강릉(bgna3),"2025-04-02 20:30",6.9,,,5,3.9,,,20,3.1,,,30
강릉(bgna3),"2025-04-02 21:00",6.6,,,5,3.7,,,20,3.0,,,30
강릉(bgna3),"2025-04-02 21:30",6.4,,,5,3.9,,,20,3.1,,,30
강릉(bgna3),"2025-04-02 22:00",6.3,,,5,3.8,,,20,3.0,,,30
강릉(bgna3),"2025-04-02 22:30",6.3,,,5,3.8,,,20,3.0,,,30
강릉(bgna3),"2025-04-02 23:00",6.0,,,5,3.8,,,20,3.0,,,30
강릉(bgna3),"2025-04-02 23:30",6.0,,,5,3.7,,,20,2.9,,,30
강릉(bgna3),"2025-04-03 00:00",6.1,,,5,3.7,,,20,3.1,,,30
강릉(bgna3),"2025-04-03 00:30",6.2,,,5,3.7,,,20,2.9,,,30
강릉(bgna3),"2025-04-03 01:00",6.2,,,5,4.1,,,20,3.1,,,30
강릉(bgna3),"2025-04-03 01:30",6.3,,,5,4.6,,,20,3.2,,,30
강릉(bgna3),"2025-04-03 02:00",6.6,,,5,5.3,,,20,3.4,,,30
강릉(bgna3),"2025-04-03 02:30",6.6,,,5,5.6,,,20,3.6,,,30
강릉(bgna3),"2025-04-03 03:00",6.8,,,5,5.3,,,20,3.6,,,30
강릉(bgna3),"2025-04-03 03:30",8.1,,,5,5.3,,,20,3.6,,,30
강릉(bgna3),"2025-04-03 04:00",8.1,,,5,5.4,,,20,3.6,,,30
강릉(bgna3),"2025-04-03 04:30",8.3,,,5,5.4,,,20,3.7,,,30
강릉(bgna3),"2025-04-03 05:00",8.0,,,5,5.4,,,20,3.7,,,30
강릉(bgna3),"2025-04-03 05:30",8.3,,,5,5.5,,,20,3.8,,,30
강릉(bgna3),"2025-04-03 06:00",8.1,,,5,5.6,,,20,3.9,,,30
강릉(bgna3),"2025-04-03 06:30",7.4,,,5,5.2,,,20,3.9,,,30
강릉(bgna3),"2025-04-03 07:00",7.1,,,5,5.1,,,20,3.9,,,30
강릉(bgna3),"2025-04-03 07:30",6.6,,,5,4.7,,,20,3.7,,,30
강릉(bgna3),"2025-04-03 08:00",6.4,,,5,4.5,,,20,3.8,,,30
강릉(bgna3),"2025-04-03 08:30",6.5,,,5,4.3,,,20,3.7,,,30
강릉(bgna3),"2025-04-03 09:00",6.4,,,5,4.1,,,20,3.6,,,30
강릉(bgna3),"2025-04-03 09:30",6.9,,,5,4.1,,,20,3.6,,,30
강릉(bgna3),"2025-04-03 10:00",6.4,,,5,5.2,,,20,3.6,,,30
강릉(bgna3),"2025-04-03 10:30",7.0,,,5,5.5,,,20,3.6,,,30
강릉(bgna3),"2025-04-03 11:00",7.4,,,5,5.1,,,20,3.7,,,30
강릉(bgna3),"2025-04-03 11:30",7.5,,,5,4.7,,,20,3.8,,,30
강릉(bgna3),"2025-04-03 12:00",7.8,,,5,4.6,,,20,4.0,,,30
강릉(bgna3),"2025-04-03 12:30",7.6,,,5,4.4,,,20,4.1,,,30
강릉(bgna3),"2025-04-03 13:00",7.4,,,5,4.5,,,20,4.1,,,30
강릉(bgna3),"2025-04-03 13:30",7.5,,,5,4.7,,,20,4.0,,,30
강릉(bgna3),"2025-04-03 14:00",8.0,,,5,4.9,,,20,4.0,,,30
강릉(bgna3),"2025-04-03 14:30",8.3,,,5,5.4,,,20,4.1,,,30
강릉(bgna3),"2025-04-03 15:00",8.4,,,5,5.7,,,20,4.3,,,30
강릉(bgna3),"2025-04-03 15:30",8.3,,,5,5.7,,,20,4.2,,,30
강릉(bgna3),"2025-04-03 16:00",8.1,,,5,5.9,,,20,4.5,,,30
강릉(bgna3),"2025-04-03 16:30",8.0,,,5,5.6,,,20,4.8,,,30
강릉(bgna3),"2025-04-03 17:00",7.8,,,5,5.6,,,20,4.6,,,30
강릉(bgna3),"2025-04-03 17:30",7.5,,,5,5.6,,,20,4.5,,,30
강릉(bgna3),"2025-04-03 18:00",7.3,,,5,5.0,,,20,4.4,,,30
강릉(bgna3),"2025-04-03 18:30",7.2,,,5,5.0,,,20,4.3,,,30
강릉(bgna3),"2025-04-03 19:00",7.1,,,5,4.8,,,20,4.5,,,30
강릉(bgna3),"2025-04-03 19:30",6.9,,,5,4.8,,,20,4.4,,,30
강릉(bgna3),"2025-04-03 20:00",6.8,,,5,4.4,,,20,4.3,,,30
강릉(bgna3),"2025-04-03 20:30",7.1,,,5,4.4,,,20,4.2,,,30
강릉(bgna3),"2025-04-03 21:30",7.2,,,5,4.4,,,20,3.9,,,30
강릉(bgna3),"2025-04-03 22:00",7.1,,,5,4.7,,,20,4.1,,,30
강릉(bgna3),"2025-04-03 22:30",8.1,,,5,5.4,,,20,4.4,,,30
강릉(bgna3),"2025-04-03 23:00",8.0,,,5,4.8,,,20,4.2,,,30
강릉(bgna3),"2025-04-03 23:30",8.1,,,5,4.7,,,20,3.9,,,30
강릉(bgna3),"2025-04-04 00:00",8.0,,,5,4.7,,,20,3.9,,,30
강릉(bgna3),"2025-04-04 00:30",8.2,,,5,4.6,,,20,3.9,,,30
강릉(bgna3),"2025-04-04 01:00",8.2,,,5,5.9,,,20,4.3,,,30
강릉(bgna3),"2025-04-04 01:30",8.1,,,5,5.8,,,20,4.5,,,30
강릉(bgna3),"2025-04-04 02:00",8.2,,,5,5.7,,,20,4.7,,,30
강릉(bgna3),"2025-04-04 02:30",8.1,,,5,5.8,,,20,4.8,,,30
강릉(bgna3),"2025-04-04 03:00",8.0,,,5,5.8,,,20,4.9,,,30
강릉(bgna3),"2025-04-04 03:30",8.0,,,5,6.4,,,20,5.1,,,30
강릉(bgna3),"2025-04-04 04:00",8.2,,,5,7.0,,,20,5.3,,,30
강릉(bgna3),"2025-04-04 04:30",8.3,,,5,7.3,,,20,5.5,,,30
강릉(bgna3),"2025-04-04 05:00",8.4,,,5,7.3,,,20,5.6,,,30
강릉(bgna3),"2025-04-04 05:30",8.5,,,5,6.6,,,20,5.3,,,30
강릉(bgna3),"2025-04-04 06:00",8.6,,,5,6.8,,,20,5.6,,,30
강릉(bgna3),"2025-04-04 06:30",8.6,,,5,6.6,,,20,5.5,,,30
강릉(bgna3),"2025-04-04 07:00",8.6,,,5,6.4,,,20,5.4,,,30
강릉(bgna3),"2025-04-04 07:30",8.5,,,5,6.2,,,20,5.2,,,30
강릉(bgna3),"2025-04-04 08:00",8.1,,,5,6.2,,,20,5.1,,,30
강릉(bgna3),"2025-04-04 08:30",6.9,,,5,5.5,,,20,4.8,,,30
강릉(bgna3),"2025-04-04 09:00",7.1,,,5,5.7,,,20,4.5,,,30
강릉(bgna3),"2025-04-04 09:30",7.0,,,5,5.9,,,20,4.5,,,30
강릉(bgna3),"2025-04-04 10:00",8.3,,,5,6.1,,,20,4.1,,,30
강릉(bgna3),"2025-04-04 10:30",8.3,,,5,5.4,,,20,4.4,,,30
강릉(bgna3),"2025-04-04 11:00",8.4,,,5,6.9,,,20,4.8,,,30
강릉(bgna3),"2025-04-04 11:30",8.5,,,5,6.6,,,20,5.1,,,30
강릉(bgna3),"2025-04-04 12:00",8.4,,,5,6.7,,,20,5.3,,,30
강릉(bgna3),"2025-04-04 12:30",8.3,,,5,6.5,,,20,4.7,,,30
강릉(bgna3),"2025-04-04 13:00",8.5,,,5,6.5,,,20,5.9,,,30
강릉(bgna3),"2025-04-04 13:30",8.3,,,5,6.5,,,20,5.6,,,30
강릉(bgna3),"2025-04-04 14:00",7.4,,,5,6.3,,,20,5.1,,,30
강릉(bgna3),"2025-04-04 14:30",8.4,,,5,6.3,,,20,5.0,,,30
강릉(bgna3),"2025-04-04 15:00",8.5,,,5,6.0,,,20,5.0,,,30
강릉(bgna3),"2025-04-04 15:30",8.8,,,5,6.3,,,20,5.2,,,30
강릉(bgna3),"2025-04-04 16:00",8.9,,,5,6.5,,,20,5.4,,,30
강릉(bgna3),"2025-04-04 16:30",8.8,,,5,6.3,,,20,5.3,,,30
강릉(bgna3),"2025-04-04 17:00",8.8,,,5,6.0,,,20,4.9,,,30
강릉(bgna3),"2025-04-04 17:30",8.7,,,5,5.8,,,20,4.8,,,30
강릉(bgna3),"2025-04-04 18:00",8.7,,,5,5.8,,,20,4.7,,,30
강릉(bgna3),"2025-04-04 18:30",8.6,,,5,6.1,,,20,4.4,,,30
강릉(bgna3),"2025-04-04 19:00",8.5,,,5,6.0,,,20,4.3,,,30
강릉(bgna3),"2025-04-04 19:30",8.5,,,5,6.6,,,20,4.6,,,30
강릉(bgna3),"2025-04-04 20:00",8.6,,,5,6.8,,,20,5.1,,,30
강릉(bgna3),"2025-04-04 20:30",8.5,,,5,6.7,,,20,5.5,,,30
강릉(bgna3),"2025-04-04 21:00",8.7,,,5,6.5,,,20,5.3,,,30
강릉(bgna3),"2025-04-04 21:30",8.4,,,5,6.0,,,20,4.5,,,30
강릉(bgna3),"2025-04-04 22:00",8.5,,,5,5.8,,,20,4.5,,,30
강릉(bgna3),"2025-04-04 22:30",7.8,,,5,5.0,,,20,4.7,,,30
강릉(bgna3),"2025-04-04 23:00",8.8,,,5,6.0,,,20,4.6,,,30
강릉(bgna3),"2025-04-04 23:30",9.0,,,5,6.0,,,20,4.7,,,30
강릉(bgna3),"2025-04-05 00:00",8.7,,,5,5.8,,,20,4.5,,,30
강릉(bgna3),"2025-04-05 00:30",8.4,,,5,5.7,,,20,4.4,,,30
강릉(bgna3),"2025-04-05 01:00",8.2,,,5,5.6,,,20,4.4,,,30
강릉(bgna3),"2025-04-05 01:30",7.8,,,5,5.5,,,20,4.4,,,30
강릉(bgna3),"2025-04-05 02:00",7.8,,,5,5.3,,,20,4.3,,,30
강릉(bgna3),"2025-04-05 02:30",7.9,,,5,6.1,,,20,4.9,,,30
강릉(bgna3),"2025-04-05 03:00",8.3,,,5,6.3,,,20,4.7,,,30
강릉(bgna3),"2025-04-05 03:30",8.6,,,5,7.2,,,20,4.8,,,30
강릉(bgna3),"2025-04-05 04:00",9.0,,,5,7.8,,,20,5.4,,,30
강릉(bgna3),"2025-04-05 04:30",9.0,,,5,7.5,,,20,5.6,,,30
강릉(bgna3),"2025-04-05 05:00",9.0,,,5,7.0,,,20,5.4,,,30
강릉(bgna3),"2025-04-05 05:30",9.0,,,5,6.9,,,20,5.6,,,30
강릉(bgna3),"2025-04-05 06:00",9.0,,,5,6.9,,,20,5.6,,,30
강릉(bgna3),"2025-04-05 06:30",9.0,,,5,6.7,,,20,5.6,,,30
강릉(bgna3),"2025-04-05 07:00",9.1,,,5,6.9,,,20,5.6,,,30
강릉(bgna3),"2025-04-05 07:30",8.7,,,5,5.8,,,20,5.1,,,30
강릉(bgna3),"2025-04-05 08:00",8.5,,,5,5.7,,,20,4.8,,,30
강릉(bgna3),"2025-04-05 08:30",8.5,,,5,5.6,,,20,4.8,,,30
강릉(bgna3),"2025-04-05 09:00",8.2,,,5,4.8,,,20,4.3,,,30
강릉(bgna3),"2025-04-05 09:30",7.9,,,5,5.3,,,20,4.4,,,30
강릉(bgna3),"2025-04-05 10:00",8.0,,,5,5.4,,,20,4.3,,,30
강릉(bgna3),"2025-04-05 10:30",7.6,,,5,5.2,,,20,4.1,,,30
강릉(bgna3),"2025-04-05 11:00",7.5,,,5,5.3,,,20,4.3,,,30
강릉(bgna3),"2025-04-05 11:30",7.6,,,5,5.6,,,20,4.3,,,30
강릉(bgna3),"2025-04-05 12:00",7.6,,,5,5.7,,,20,4.2,,,30
강릉(bgna3),"2025-04-05 12:30",7.6,,,5,5.5,,,20,4.3,,,30
강릉(bgna3),"2025-04-05 13:00",8.7,,,5,6.3,,,20,4.5,,,30
강릉(bgna3),"2025-04-05 13:30",8.7,,,5,7.0,,,20,4.8,,,30
강릉(bgna3),"2025-04-05 14:00",9.3,,,5,7.4,,,20,5.0,,,30
강릉(bgna3),"2025-04-05 14:30",9.7,,,5,8.1,,,20,5.6,,,30
강릉(bgna3),"2025-04-05 15:00",9.9,,,5,8.5,,,20,6.3,,,30
강릉(bgna3),"2025-04-05 15:30",10.0,,,5,8.7,,,20,6.4,,,30
강릉(bgna3),"2025-04-05 16:00",10.0,,,5,8.9,,,20,7.3,,,30
강릉(bgna3),"2025-04-05 16:30",9.9,,,5,8.2,,,20,6.8,,,30
강릉(bgna3),"2025-04-05 17:00",9.2,,,5,7.7,,,20,6.2,,,30
강릉(bgna3),"2025-04-05 17:30",9.0,,,5,6.9,,,20,5.8,,,30
강릉(bgna3),"2025-04-05 18:00",8.8,,,5,6.5,,,20,5.1,,,30
강릉(bgna3),"2025-04-05 18:30",8.6,,,5,6.4,,,20,4.9,,,30
강릉(bgna3),"2025-04-05 19:00",8.3,,,5,6.2,,,20,4.5,,,30
강릉(bgna3),"2025-04-05 19:30",8.2,,,5,6.1,,,20,4.6,,,30
강릉(bgna3),"2025-04-05 20:00",8.3,,,5,5.6,,,20,4.2,,,30
강릉(bgna3),"2025-04-05 20:30",8.4,,,5,6.1,,,20,4.3,,,30
강릉(bgna3),"2025-04-05 21:30",8.2,,,5,5.9,,,20,3.9,,,30
강릉(bgna3),"2025-04-05 22:00",8.2,,,5,5.8,,,20,3.7,,,30
강릉(bgna3),"2025-04-05 22:30",8.5,,,5,5.9,,,20,3.7,,,30
강릉(bgna3),"2025-04-05 23:00",8.9,,,5,5.8,,,20,3.7,,,30
강릉(bgna3),"2025-04-05 23:30",9.3,,,5,6.0,,,20,3.8,,,30
강릉(bgna3),"2025-04-06 00:00",9.5,,,5,6.6,,,20,3.9,,,30
강릉(bgna3),"2025-04-06 00:30",9.6,,,5,6.7,,,20,4.0,,,30
강릉(bgna3),"2025-04-06 01:00",9.6,,,5,6.7,,,20,4.3,,,30
강릉(bgna3),"2025-04-06 01:30",9.8,,,5,6.8,,,20,4.7,,,30
강릉(bgna3),"2025-04-06 02:00",9.9,,,5,6.8,,,20,4.8,,,30
강릉(bgna3),"2025-04-06 02:30",9.5,,,5,6.7,,,20,4.5,,,30
강릉(bgna3),"2025-04-06 03:00",8.8,,,5,6.7,,,20,4.6,,,30
강릉(bgna3),"2025-04-06 03:30",8.4,,,5,6.4,,,20,4.9,,,30
강릉(bgna3),"2025-04-06 04:00",9.2,,,5,6.2,,,20,4.6,,,30
강릉(bgna3),"2025-04-06 04:30",9.3,,,5,6.8,,,20,4.9,,,30
강릉(bgna3),"2025-04-06 05:00",9.5,,,5,7.1,,,20,5.2,,,30
강릉(bgna3),"2025-04-06 05:30",9.5,,,5,7.1,,,20,5.3,,,30
강릉(bgna3),"2025-04-06 06:00",9.5,,,5,6.9,,,20,5.3,,,30
강릉(bgna3),"2025-04-06 06:30",9.3,,,5,6.6,,,20,4.5,,,30
강릉(bgna3),"2025-04-06 07:00",9.5,,,5,6.6,,,20,4.7,,,30
강릉(bgna3),"2025-04-06 07:30",9.6,,,5,6.2,,,20,4.9,,,30
강릉(bgna3),"2025-04-06 08:00",9.7,,,5,6.7,,,20,5.0,,,30
강릉(bgna3),"2025-04-06 08:30",9.2,,,5,6.6,,,20,4.9,,,30
강릉(bgna3),"2025-04-06 09:00",9.6,,,5,6.9,,,20,5.1,,,30
강릉(bgna3),"2025-04-06 09:30",9.6,,,5,7.8,,,20,5.1,,,30
강릉(bgna3),"2025-04-06 10:00",10.0,,,5,8.0,,,20,5.4,,,30
강릉(bgna3),"2025-04-06 10:30",9.8,,,5,7.6,,,20,5.3,,,30
강릉(bgna3),"2025-04-06 11:00",10.0,,,5,7.7,,,20,5.4,,,30
강릉(bgna3),"2025-04-06 11:30",10.0,,,5,7.3,,,20,5.3,,,30
강릉(bgna3),"2025-04-06 12:00",10.0,,,5,7.0,,,20,5.3,,,30
강릉(bgna3),"2025-04-06 12:30",9.9,,,5,6.7,,,20,5.4,,,30
강릉(bgna3),"2025-04-06 13:00",10.0,,,5,7.2,,,20,5.5,,,30
강릉(bgna3),"2025-04-06 13:30",9.9,,,5,7.9,,,20,5.6,,,30
강릉(bgna3),"2025-04-06 14:00",9.9,,,5,8.0,,,20,5.6,,,30
강릉(bgna3),"2025-04-06 14:30",10.3,,,5,7.1,,,20,5.0,,,30
강릉(bgna3),"2025-04-06 15:00",9.7,,,5,6.7,,,20,4.8,,,30
강릉(bgna3),"2025-04-06 15:30",9.4,,,5,6.2,,,20,4.8,,,30
강릉(bgna3),"2025-04-06 16:00",9.5,,,5,6.3,,,20,4.7,,,30
강릉(bgna3),"2025-04-06 16:30",9.7,,,5,7.1,,,20,4.6,,,30
강릉(bgna3),"2025-04-06 17:00",10.1,,,5,6.5,,,20,5.1,,,30
강릉(bgna3),"2025-04-06 17:30",9.9,,,5,6.9,,,20,5.1,,,30
강릉(bgna3),"2025-04-06 18:00",10.1,,,5,7.9,,,20,5.7,,,30
강릉(bgna3),"2025-04-06 18:30",10.2,,,5,7.7,,,20,5.6,,,30
강릉(bgna3),"2025-04-06 19:00",10.0,,,5,7.6,,,20,5.8,,,30
강릉(bgna3),"2025-04-06 19:30",9.6,,,5,7.1,,,20,5.8,,,30
강릉(bgna3),"2025-04-06 20:00",9.5,,,5,7.1,,,20,5.8,,,30
강릉(bgna3),"2025-04-06 20:30",9.3,,,5,6.9,,,20,5.5,,,30
강릉(bgna3),"2025-04-06 21:00",9.0,,,5,6.8,,,20,5.5,,,30
강릉(bgna3),"2025-04-06 21:30",8.7,,,5,6.8,,,20,5.6,,,30
강릉(bgna3),"2025-04-06 22:00",8.6,,,5,6.2,,,20,5.4,,,30
강릉(bgna3),"2025-04-06 22:30",8.4,,,5,6.2,,,20,5.1,,,30
강릉(bgna3),"2025-04-06 23:00",8.9,,,5,6.0,,,20,4.9,,,30
강릉(bgna3),"2025-04-06 23:30",9.1,,,5,6.0,,,20,4.8,,,30
강릉(bgna3),"2025-04-07 00:00",9.1,,,5,6.2,,,20,4.8,,,30
강릉(bgna3),"2025-04-07 00:30",9.0,,,5,6.2,,,20,4.9,,,30
강릉(bgna3),"2025-04-07 01:00",9.0,,,5,7.0,,,20,5.3,,,30
강릉(bgna3),"2025-04-07 01:30",9.0,,,5,6.8,,,20,5.1,,,30
강릉(bgna3),"2025-04-07 02:00",9.0,,,5,6.8,,,20,5.1,,,30
강릉(bgna3),"2025-04-07 02:30",9.0,,,5,6.8,,,20,5.2,,,30
강릉(bgna3),"2025-04-07 03:00",9.0,,,5,6.8,,,20,5.2,,,30
강릉(bgna3),"2025-04-07 03:30",9.0,,,5,6.5,,,20,5.3,,,30
강릉(bgna3),"2025-04-07 04:00",8.9,,,5,6.2,,,20,5.4,,,30
강릉(bgna3),"2025-04-07 04:30",8.8,,,5,6.0,,,20,5.4,,,30
강릉(bgna3),"2025-04-07 05:00",8.5,,,5,6.0,,,20,5.6,,,30
강릉(bgna3),"2025-04-07 05:30",8.8,,,5,6.0,,,20,5.5,,,30
강릉(bgna3),"2025-04-07 06:00",8.9,,,5,6.2,,,20,5.5,,,30
강릉(bgna3),"2025-04-07 06:30",8.1,,,5,5.8,,,20,5.4,,,30
강릉(bgna3),"2025-04-07 07:00",8.2,,,5,5.5,,,20,5.3,,,30
강릉(bgna3),"2025-04-07 07:30",8.1,,,5,5.5,,,20,5.0,,,30
강릉(bgna3),"2025-04-07 08:00",8.1,,,5,5.6,,,20,5.3,,,30
강릉(bgna3),"2025-04-07 08:30",8.4,,,5,5.7,,,20,5.1,,,30
강릉(bgna3),"2025-04-07 09:00",8.6,,,5,7.8,,,20,5.7,,,30
강릉(bgna3),"2025-04-07 09:30",8.6,,,5,7.9,,,20,6.2,,,30
